# Case: R.ST0
# Station: 2
# X/H: -2.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
13,1.1,0.674,-0.001,5.16,2.46,-1.03,-0.24,-0.13,0.07,0.23
14,1.15,0.704,-0.001,4.77,2.41,-0.88,-0.16,-0.12,0.08,0.06
15,1.2,0.733,-0.001,4.7,2.34,-0.93,-0.29,-0.11,0.14,0.11
16,1.3,0.777,-0.003,4.4,2.08,-0.92,-0.37,-0.1,0.09,0.16
17,1.4,0.807,-0.004,3.88,1.94,-0.8,-0.28,-0.09,0.13,0.14
18,1.5,0.831,-0.005,3.62,1.83,-0.8,-0.33,-0.12,0.09,0.15
19,1.7,0.873,-0.003,2.95,1.6,-0.55,-0.32,-0.1,0.11,0.15
20,2.0,0.93,-0.003,2.23,1.24,-0.35,-0.24,-0.1,0.13,0.15
21,2.4,0.99,-0.004,1.19,0.74,0.05,-0.16,-0.05,0.07,0.06
22,2.8,1.014,-0.001,0.66,0.5,0.24,0.02,0.02,0.0,0.03
23,3.2,1.016,-0.002,0.58,0.38,0.2,0.03,0.01,0.01,0.02
24,3.6,1.013,0.0,0.64,0.47,0.27,0.04,0.03,0.02,0.04
25,4.0,1.009,-0.003,0.69,0.52,0.33,0.04,0.04,0.03,0.04
26,5.0,1.008,-0.007,0.62,0.46,0.27,0.03,0.02,0.01,0.02
27,6.0,1.007,-0.01,0.55,0.4,0.21,0.01,0.0,-0.01,0.0
28,7.5,1.004,-0.014,0.7,0.54,0.33,0.04,0.03,0.02,0.04
29,8.2,0.938,-0.008,2.07,1.24,0.65,-0.42,-0.14,-0.13,-0.09
