# Case: R.ST0
# Station: 16
# X/H: 8.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.313,-0.037,11.88,8.23,-2.44,3.71,1.18,-0.65,-1.21
3,0.15,0.327,-0.039,12.95,9.26,-3.32,2.69,1.1,-0.53,-2.02
4,0.2,0.34,-0.044,13.58,10.46,-4.33,3.17,0.96,-0.71,-1.47
5,0.3,0.377,-0.053,15.08,12.21,-5.72,1.95,-0.28,0.28,0.81
6,0.4,0.415,-0.062,16.22,12.53,-6.57,-1.09,-2.2,2.18,1.92
7,0.5,0.459,-0.068,16.29,12.25,-6.53,-4.08,-3.91,3.6,3.85
8,0.6,0.511,-0.071,16.81,11.05,-6.26,-8.26,-5.36,5.2,4.94
9,0.7,0.558,-0.072,15.51,9.46,-5.57,-10.11,-5.62,5.56,5.28
10,0.8,0.609,-0.068,13.99,8.34,-4.75,-12.26,-5.93,6.24,5.53
11,0.9,0.657,-0.067,11.54,6.6,-3.97,-11.87,-5.33,5.58,4.56
12,1.0,0.695,-0.064,8.61,5.19,-2.8,-7.89,-3.55,3.64,3.15
13,1.1,0.731,-0.062,6.8,4.06,-2.03,-6.13,-2.46,2.65,2.32
14,1.15,0.748,-0.062,5.63,3.48,-1.65,-4.3,-1.73,1.93,1.82
15,1.2,0.764,-0.063,4.47,2.89,-1.27,-2.47,-1.0,1.2,1.32
16,1.3,0.791,-0.062,3.42,2.17,-0.9,-0.74,-0.31,0.38,0.53
17,1.4,0.813,-0.06,2.72,1.78,-0.64,-0.43,-0.18,0.25,0.36
18,1.5,0.832,-0.06,2.35,1.49,-0.49,-0.33,-0.13,0.18,0.25
19,1.7,0.868,-0.058,1.78,1.07,-0.33,-0.29,-0.09,0.12,0.12
20,2.0,0.909,-0.057,1.03,0.65,-0.09,-0.17,-0.04,0.08,0.08
21,2.4,0.935,-0.052,0.49,0.37,0.05,0.01,0.01,0.02,0.03
22,2.8,0.943,-0.048,0.36,0.27,0.08,0.02,0.01,0.01,0.01
23,3.2,0.946,-0.047,0.34,0.25,0.06,0.02,0.02,0.01,0.02
24,3.6,0.949,-0.043,0.32,0.23,0.06,0.02,0.02,0.01,0.01
25,4.0,0.95,-0.042,0.32,0.22,0.06,0.02,0.02,0.01,0.02
26,5.0,0.954,-0.038,0.33,0.23,0.07,0.02,0.02,0.01,0.02
27,6.0,0.958,-0.034,0.33,0.24,0.08,0.02,0.02,0.02,0.02
28,7.5,0.959,-0.028,0.39,0.31,0.1,0.01,0.01,0.01,0.01
29,8.2,0.855,-0.019,2.79,1.97,0.79,-0.46,-0.25,-0.17,-0.16
