# Case: R.ST0 - All Stations Combined
#
Station,X/H,LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
1,-4.0,13,1.1,0.657,0.0,5.16,2.7,-1.02,-0.18,-0.14,0.12,0.22
1,-4.0,14,1.15,0.696,0.0,5.26,2.19,-1.01,-0.29,-0.12,0.11,0.22
1,-4.0,15,1.2,0.719,0.001,4.67,2.23,-1.07,-0.36,-0.13,0.19,0.16
1,-4.0,16,1.3,0.76,0.0,3.86,2.32,-1.07,-0.36,-0.17,0.18,0.14
1,-4.0,17,1.4,0.79,0.001,3.49,2.1,-0.97,-0.17,-0.03,0.02,0.07
1,-4.0,18,1.5,0.818,-0.001,3.06,2.05,-0.92,-0.15,-0.12,0.11,0.13
1,-4.0,19,1.7,0.87,0.0,2.58,1.64,-0.71,-0.25,-0.13,0.14,0.13
1,-4.0,20,2.0,0.926,0.0,1.8,1.18,-0.44,-0.23,-0.1,0.1,0.11
1,-4.0,21,2.4,0.982,0.003,0.86,0.63,-0.1,-0.12,-0.06,0.05,0.04
1,-4.0,22,2.8,1.003,0.007,0.42,0.32,0.02,0.02,0.01,0.0,0.0
1,-4.0,23,3.2,1.003,0.006,0.39,0.3,0.03,0.03,0.02,0.0,0.01
1,-4.0,24,3.6,1.0,0.006,0.37,0.28,0.04,0.02,0.01,0.0,0.0
1,-4.0,25,4.0,1.001,0.003,0.37,0.28,0.03,0.02,0.01,-0.01,0.0
1,-4.0,26,5.0,1.001,0.0,0.37,0.27,0.03,0.02,0.01,-0.01,0.0
1,-4.0,27,6.0,1.0,-0.004,0.36,0.26,0.04,0.01,0.01,-0.01,0.0
1,-4.0,28,7.5,1.001,-0.006,0.37,0.28,0.04,0.02,0.01,0.0,0.0
1,-4.0,29,8.2,0.943,0.002,1.6,1.28,0.46,-0.28,-0.17,-0.13,-0.08
2,-2.0,13,1.1,0.674,-0.001,5.16,2.46,-1.03,-0.24,-0.13,0.07,0.23
2,-2.0,14,1.15,0.704,-0.001,4.77,2.41,-0.88,-0.16,-0.12,0.08,0.06
2,-2.0,15,1.2,0.733,-0.001,4.7,2.34,-0.93,-0.29,-0.11,0.14,0.11
2,-2.0,16,1.3,0.777,-0.003,4.4,2.08,-0.92,-0.37,-0.1,0.09,0.16
2,-2.0,17,1.4,0.807,-0.004,3.88,1.94,-0.8,-0.28,-0.09,0.13,0.14
2,-2.0,18,1.5,0.831,-0.005,3.62,1.83,-0.8,-0.33,-0.12,0.09,0.15
2,-2.0,19,1.7,0.873,-0.003,2.95,1.6,-0.55,-0.32,-0.1,0.11,0.15
2,-2.0,20,2.0,0.93,-0.003,2.23,1.24,-0.35,-0.24,-0.1,0.13,0.15
2,-2.0,21,2.4,0.99,-0.004,1.19,0.74,0.05,-0.16,-0.05,0.07,0.06
2,-2.0,22,2.8,1.014,-0.001,0.66,0.5,0.24,0.02,0.02,0.0,0.03
2,-2.0,23,3.2,1.016,-0.002,0.58,0.38,0.2,0.03,0.01,0.01,0.02
2,-2.0,24,3.6,1.013,0.0,0.64,0.47,0.27,0.04,0.03,0.02,0.04
2,-2.0,25,4.0,1.009,-0.003,0.69,0.52,0.33,0.04,0.04,0.03,0.04
2,-2.0,26,5.0,1.008,-0.007,0.62,0.46,0.27,0.03,0.02,0.01,0.02
2,-2.0,27,6.0,1.007,-0.01,0.55,0.4,0.21,0.01,0.0,-0.01,0.0
2,-2.0,28,7.5,1.004,-0.014,0.7,0.54,0.33,0.04,0.03,0.02,0.04
2,-2.0,29,8.2,0.938,-0.008,2.07,1.24,0.65,-0.42,-0.14,-0.13,-0.09
3,-1.0,13,1.1,0.687,-0.006,4.77,3.25,-1.12,-0.34,-0.13,0.17,0.21
3,-1.0,14,1.15,0.724,-0.006,5.23,2.13,-1.13,-0.39,-0.1,0.2,0.14
3,-1.0,15,1.2,0.753,-0.008,5.0,2.15,-1.17,-0.36,-0.1,0.15,0.15
3,-1.0,16,1.3,0.793,-0.01,4.31,1.98,-0.99,-0.37,-0.1,0.2,0.13
3,-1.0,17,1.4,0.823,-0.01,3.91,1.87,-0.97,-0.48,-0.12,0.21,0.11
3,-1.0,18,1.5,0.849,-0.011,3.24,1.9,-0.91,-0.3,-0.08,0.12,0.11
3,-1.0,19,1.7,0.896,-0.013,2.69,1.57,-0.72,-0.35,-0.08,0.12,0.09
3,-1.0,20,2.0,0.95,-0.013,1.84,1.14,-0.43,-0.21,-0.09,0.13,0.09
3,-1.0,21,2.4,1.004,-0.012,0.86,0.63,-0.12,-0.1,-0.04,0.04,0.04
3,-1.0,22,2.8,1.023,-0.009,0.45,0.36,-0.02,0.02,0.01,0.0,0.0
3,-1.0,23,3.2,1.02,-0.01,0.4,0.31,0.0,0.02,0.01,-0.01,-0.01
3,-1.0,24,3.6,1.019,-0.01,0.43,0.34,0.01,0.04,0.02,0.0,0.0
3,-1.0,25,4.0,1.016,-0.012,0.4,0.3,0.0,0.01,0.0,-0.01,-0.01
3,-1.0,26,5.0,1.013,-0.013,0.44,0.37,0.0,0.01,0.01,-0.02,-0.03
