# Case: R.ST6
# Station: 2
# X/H: -2.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
13,1.1,0.644,-0.006,6.59,2.11,-1.07,-0.27,-0.11,0.09,0.12
14,1.15,0.684,-0.001,6.05,1.98,-1.08,-0.29,-0.08,0.12,0.08
15,1.2,0.711,-0.001,5.67,2.0,-1.25,-0.38,-0.1,0.17,0.11
16,1.3,0.757,-0.002,5.07,1.92,-1.16,-0.5,-0.1,0.2,0.13
17,1.4,0.792,-0.002,4.45,1.78,-1.09,-0.59,-0.13,0.19,0.15
18,1.5,0.818,-0.004,3.98,1.68,-0.92,-0.62,-0.14,0.17,0.15
19,1.7,0.873,-0.003,2.98,1.33,-0.71,-0.59,-0.15,0.21,0.14
20,2.0,0.934,-0.002,1.93,0.89,-0.34,-0.45,-0.13,0.16,0.12
21,2.4,0.986,0.002,0.65,0.41,0.03,-0.08,-0.02,0.03,0.04
22,2.8,0.996,0.004,0.4,0.25,0.09,0.03,0.01,0.0,0.01
23,3.2,0.997,0.007,0.44,0.24,0.11,0.07,0.02,0.01,0.0
24,3.6,0.998,0.007,0.43,0.23,0.09,0.06,0.02,0.0,0.0
25,4.0,0.998,0.007,0.39,0.22,0.09,0.03,0.01,0.0,0.0
26,5.0,1.002,0.007,0.37,0.22,0.09,0.03,0.0,0.0,0.0
27,6.0,1.007,0.008,0.38,0.23,0.1,0.03,0.01,0.01,0.01
28,8.0,1.008,0.002,0.7,0.49,0.2,-0.12,-0.03,-0.04,-0.03
