# Case: R.ST6
# Station: 4
# X/H: 0.0
# Wall_Case: Diverging Wall case, alpha=6 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
13,1.1,0.638,-0.005,6.62,2.31,-0.75,-0.1,-0.16,0.09,0.13
14,1.15,0.675,-0.005,6.35,2.14,-1.0,-0.38,-0.06,0.11,0.08
15,1.2,0.701,-0.005,5.86,1.98,-1.22,-0.14,-0.07,0.1,0.11
16,1.3,0.745,-0.004,5.3,1.94,-1.19,-0.42,-0.13,0.2,0.1
17,1.4,0.782,-0.003,4.61,1.85,-1.1,-0.54,-0.14,0.21,0.14
18,1.5,0.813,-0.003,4.06,1.7,-0.96,-0.66,-0.15,0.23,0.16
19,1.7,0.865,-0.004,3.22,1.45,-0.79,-0.7,-0.18,0.25,0.17
20,2.0,0.927,-0.002,2.1,0.97,-0.38,-0.48,-0.13,0.18,0.13
21,2.4,0.979,0.003,0.76,0.42,-0.03,-0.12,-0.04,0.06,0.04
22,2.8,0.993,0.006,0.41,0.26,0.07,0.03,0.01,0.0,0.0
23,3.2,0.995,0.009,0.39,0.23,0.09,0.03,0.01,0.01,0.0
24,3.6,0.995,0.01,0.39,0.22,0.07,0.04,0.01,0.0,0.0
25,4.0,0.995,0.011,0.36,0.21,0.08,0.03,0.01,0.0,0.0
26,5.0,0.998,0.014,0.32,0.19,0.07,0.02,0.01,0.0,0.0
27,6.0,1.004,0.02,0.3,0.17,0.07,0.02,0.01,0.0,0.0
28,8.0,1.02,0.033,0.78,0.53,0.14,-0.12,-0.04,-0.04,-0.04
