y,U_0,U_1,U_2
0,0,0,0
7.4e-05,2.26091,2.48846e-05,1.8437e-22
0.000150075,4.32892,8.58131e-05,-2.23849e-22
0.000228295,5.9055,0.000162348,-2.26494e-22
0.000308731,6.94685,0.000232908,-3.16774e-22
0.000391458,7.63915,0.000289124,5.81983e-22
0.000476552,8.12628,0.000329304,5.37604e-22
0.000564092,8.48522,0.000352725,-5.42877e-22
0.000654158,8.75922,0.000359893,0
0.000746834,8.97438,0.000352019,-5.60948e-22
0.000842206,9.14732,0.000330497,-5.60948e-22
0.000940361,9.28905,0.000296638,3.99913e-22
0.00104139,9.4071,0.000251558,3.99913e-22
0.00114539,9.50676,0.000196155,5.9995e-22
0.00125246,9.59185,0.000131117,6.83073e-23
0.00136269,9.66517,5.6937e-05,-5.31642e-22
0.00147619,9.72881,-2.60582e-05,8.68021e-22
0.00159306,9.78436,-0.00011769,-7.0477e-22
0.00171341,9.83307,-0.000217907,-8.55322e-22
0.00183736,9.8759,-0.000326771,5.55807e-23
0.00196502,9.91361,-0.000444442,-4.78361e-23
0.0020965,9.94683,-0.000571172,-5.31065e-22
0.00223194,9.97604,-0.000707294,-7.24964e-23
0.00237146,10.0017,-0.000853219,-9.54811e-22
0.00251518,10.024,-0.00100943,-1.06579e-21
0.00266325,10.0434,-0.00117648,3.67738e-21
0.00281579,10.0601,-0.00135499,9.92398e-22
0.00297296,10.0741,-0.00154565,-9.06046e-22
0.0031349,10.0858,-0.00174922,-3.10291e-21
0.00330175,10.0953,-0.00196651,-9.13001e-22
0.00347368,10.1026,-0.00219842,4.44382e-21
0.00365085,10.1079,-0.00244591,-1.34132e-21
0.00383341,10.1113,-0.00270999,-1.43239e-21
0.00402155,10.1127,-0.00299178,1.33277e-21
0.00421543,10.1124,-0.00329243,1.25674e-21
0.00441524,10.1103,-0.0036132,5.15114e-23
0.00462115,10.1065,-0.00395541,-1.218e-21
0.00483337,10.101,-0.00432046,0
0.00505209,10.0939,-0.00470982,0
0.00527751,10.0852,-0.00512509,-2.21089e-23
0.00550983,10.0748,-0.00556789,-4.35275e-25
0.00574929,10.0629,-0.00603999,2.16736e-23
0.00599609,10.0494,-0.00654321,2.02476e-21
0.00625046,10.0344,-0.0070795,2.02476e-21
0.00651264,10.0178,-0.00765088,-3.8575e-21
0.00678287,9.99976,-0.0082595,-9.78059e-23
0.0070614,9.98014,-0.00890758,1.9164e-21
0.00734848,9.95899,-0.00959749,-3.6714e-21
0.00764438,9.93632,-0.0103317,3.53875e-21
0.00794937,9.91213,-0.0111127,5.38556e-21
0.00826372,9.88642,-0.0119434,-3.45105e-21
0.00858773,9.85918,-0.0128264,-6.88386e-21
0.00892169,9.83041,-0.0137648,-3.3782e-21
0.0092659,9.8001,-0.0147616,6.6229e-21
0.00962067,9.76826,-0.01582,3.32341e-21
0.00998633,9.73488,-0.0169435,-6.44744e-21
0.0103632,9.69994,-0.0181354,-3.18384e-21
0.0107516,9.66346,-0.0193996,3.10067e-21
0.011152,9.62541,-0.0207397,3.10066e-21
0.0115646,9.58579,-0.0221598,3.29664e-35
0.0119898,9.54461,-0.0236639,-3.02227e-21
0.0124281,9.50184,-0.0252565,-5.97904e-21
0.0128797,9.45748,-0.0269419,5.84905e-21
0.0133452,9.41153,-0.0287249,5.91133e-21
0.0138249,9.36397,-0.0306102,-8.62535e-21
0.0143192,9.31481,-0.0326029,-5.54079e-23
0.0148286,9.26404,-0.0347082,1.69791e-20
0.0153535,9.21165,-0.0369314,1.0193e-22
0.0158944,9.15763,-0.0392781,-1.1145e-20
0.0164517,9.10198,-0.0417542,-5.53256e-21
0.017026,9.04471,-0.0443655,-1.00677e-22
0.0176177,8.98579,-0.0471182,4.29617e-23
0.0182274,8.92523,-0.0500187,-4.10228e-23
0.0188555,8.86303,-0.0530735,3.92667e-23
0.0195027,8.79919,-0.0562894,5.29033e-21
0.0201694,8.73371,-0.0596733,5.31357e-21
0.0208562,8.66659,-0.0632322,-1.05013e-20
0.0215637,8.59782,-0.0669735,5.19379e-21
0.0222925,8.52742,-0.0709046,1.36996e-23
0.0230432,8.4554,-0.075033,-1.28715e-23
0.0238164,8.38175,-0.0793664,-4.98516e-21
0.0246128,8.30649,-0.0839126,-5.1881e-21
0.025433,8.22963,-0.0886794,-1.01078e-20
0.0262777,8.15118,-0.0936746,2.00286e-20
0.0271475,8.07117,-0.0989058,2.02294e-20
0.0280432,7.9896,-0.104379,-2.00305e-20
0.0289655,7.9065,-0.110107,1.60384e-36
0.0299152,7.82188,-0.11611,-3.21417e-34
0.0308929,7.73546,-0.12245,1.01002e-20
0.0318994,7.64647,-0.129251,-3.00322e-22
0.0329356,7.5541,-0.136649,-1.04006e-20
0.0340022,7.45804,-0.14474,0
0.0351001,7.35872,-0.153524,-3.25521e-34
0.03623,7.25721,-0.162907,6.41358e-36
0.0373929,7.15469,-0.17275,1.05206e-20
0.0385895,7.05207,-0.182916,1.06911e-20
0.0398209,6.94987,-0.193309,1.70413e-22
0.0410878,6.84822,-0.203887,-1.01471e-20
0.0423913,6.74699,-0.214651,-1.01469e-20
0.0437322,6.64591,-0.225632,-1.22844e-22
0.0451115,6.5447,-0.236875,1.95029e-20
0.0465301,6.44315,-0.24842,-1.92416e-20
0.0479892,6.34117,-0.260297,-2.28468e-22
0.0494895,6.23873,-0.272524,2.18777e-22
0.0510323,6.13592,-0.2851,-2.34334e-22
0.0526185,6.03282,-0.298018,1.92236e-20
0.0542491,5.92956,-0.311262,-1.45232e-22
0.0559252,5.82624,-0.324816,1.83647e-22
0.057648,5.7229,-0.338665,-1.86581e-20
0.0594184,5.61957,-0.352798,-2.47897e-23
0.0612376,5.51624,-0.367209,-1.82004e-20
0.0631067,5.41287,-0.381893,1.7926e-20
0.0650269,5.30941,-0.396849,1.81887e-20
0.0669992,5.20581,-0.412074,-1.15208e-22
0.0690248,5.10201,-0.427564,-1.76129e-20
0.0711049,4.99797,-0.443312,1.75026e-20
0.0732406,4.89366,-0.459308,3.53242e-20
0.0754332,4.78904,-0.475542,-3.50612e-20
0.0776837,4.68408,-0.491998,-1.74473e-20
0.0799933,4.5788,-0.508659,1.72689e-20
0.0823633,4.47321,-0.525499,3.4678e-20
0.0847948,4.36723,-0.542503,-1.70772e-20
0.0872889,4.26076,-0.559665,-6.88393e-20
0.089847,4.15378,-0.576966,3.40733e-20
0.0924701,4.04632,-0.594368,6.84255e-20
0.0951595,3.93835,-0.611856,-6.8686e-20
0.0979162,3.82976,-0.62943,-6.82931e-20
0.100741,3.72048,-0.647082,6.94115e-20
0.103636,3.61049,-0.6648,-5.93989e-22
0.106602,3.49978,-0.682572,-6.96124e-20
0.10964,3.38833,-0.700384,7.012e-20
0.112751,3.27608,-0.718219,-3.01458e-22
0.115935,3.16296,-0.73607,-3.50415e-20
0.119195,3.04891,-0.753932,1.66174e-22
0.122532,2.93387,-0.7718,2.13296e-22
0.125945,2.81779,-0.789663,3.50904e-20
0.129436,2.7006,-0.80751,3.17935e-22
0.133007,2.58221,-0.825329,3.36115e-22
0.136657,2.46255,-0.843113,-3.6799e-20
0.140389,2.34153,-0.860857,-3.64809e-20
0.144202,2.21906,-0.878563,-2.82708e-22
0.148097,2.09507,-0.896234,3.75155e-20
0.152075,1.96946,-0.913878,3.77992e-20
0.156138,1.84215,-0.931502,-7.72138e-20
0.160284,1.71304,-0.94912,-7.72114e-20
0.164516,1.58205,-0.966749,4.48401e-24
0.168832,1.44908,-0.984409,4.4365e-24
0.173235,1.31403,-1.00213,1.62059e-19
0.177724,1.17681,-1.01995,8.00031e-20
0.182299,1.03733,-1.03792,8.49678e-20
0.186961,0.895503,-1.05608,-2.74701e-21
0.191709,0.751245,-1.07451,-8.35466e-20
0.196544,0.604483,-1.09327,-8.96051e-20
0.201466,0.455151,-1.11245,-8.61529e-20
0.206475,0.303195,-1.13214,8.96748e-20
0.21157,0.148574,-1.15243,-1.86548e-19
0.21675,-0.00873837,-1.17344,3.99419e-21
0.222017,-0.168751,-1.19528,2.87891e-19
0.227368,-0.331455,-1.21808,-2.25463e-21
0.232804,-0.496819,-1.24196,2.39746e-21
0.238324,-0.664792,-1.26705,-1.0704e-19
0.243926,-0.835296,-1.29349,-1.01872e-19
0.24961,-1.00823,-1.32141,2.17305e-19
0.255375,-1.18346,-1.35094,-3.04347e-21
0.26122,-1.36083,-1.38218,1.19492e-19
0.267144,-1.54016,-1.41522,-1.26644e-19
0.273144,-1.72127,-1.45014,-2.3589e-19
0.27922,-1.90397,-1.48697,1.23428e-19
0.28537,-2.08808,-1.52571,-1.31223e-19
0.291592,-2.27344,-1.56634,-1.31234e-19
0.297884,-2.45991,-1.60882,1.39705e-19
0.304245,-2.64735,-1.65309,-1.48682e-19
0.310673,-2.83562,-1.69911,9.08901e-21
0.317165,-3.02458,-1.74682,2.9749e-19
0.323718,-3.21401,-1.79615,-3.15799e-19
0.330332,-3.40364,-1.84702,8.75926e-21
0.337003,-3.59312,-1.89933,-3.44591e-19
0.343728,-3.78199,-1.95294,-3.2861e-19
0.350506,-3.96972,-2.00765,6.88102e-19
0.357333,-4.15568,-2.06321,7.13822e-19
0.364206,-4.33909,-2.11933,-7.2633e-21
0.371123,-4.51907,-2.1756,-2.64522e-21
0.378081,-4.69457,-2.23156,3.70949e-19
0.385077,-4.86443,-2.28671,1.16596e-20
0.392107,-5.02735,-2.34048,-7.28306e-19
0.399168,-5.18193,-2.39228,-3.78966e-19
0.406258,-5.32675,-2.44158,7.17708e-19
0.413373,-5.46039,-2.48788,5.72358e-21
0.420509,-5.58154,-2.53078,-3.3597e-19
0.427664,-5.68908,-2.57003,1.54321e-22
0.434834,-5.7821,-2.6055,-1.49418e-20
0.442016,-5.85998,-2.63725,3.32502e-19
0.449206,-5.92238,-2.66541,-2.9907e-19
0.456401,-5.96924,-2.69027,-1.96438e-20
0.463598,-6.00073,-2.71215,1.93579e-20
0.470793,-6.0172,-2.73142,-5.92629e-19
0.477982,-6.01916,-2.74845,5.47416e-19
0.485164,-6.00718,-2.76359,5.47537e-19
0.492333,-5.98188,-2.77716,-5.17137e-19
0.499488,-5.9439,-2.78942,-2.6535e-19
0.506624,-5.89382,-2.80061,5.02288e-19
0.513739,-5.83224,-2.81091,6.42774e-21
0.52083,-5.75969,-2.82045,2.29362e-19
0.527893,-5.67664,-2.82936,2.40346e-19
0.534925,-5.58356,-2.8377,-2.32992e-19
0.541924,-5.48086,-2.84554,-2.22835e-19
0.548887,-5.36891,-2.85293,-2.2194e-19
0.55581,-5.24806,-2.85989,4.44023e-22
0.562692,-5.11865,-2.86646,-4.75371e-22
0.56953,-4.98099,-2.87265,2.12587e-19
0.576321,-4.83539,-2.87847,1.12063e-21
0.583063,-4.68216,-2.88394,-2.11471e-19
0.589754,-4.5216,-2.88908,1.18574e-21
0.596391,-4.354,-2.89389,1.1871e-21
0.602972,-4.17969,-2.89839,-2.06718e-19
0.609496,-3.99897,-2.90258,-4.92604e-22
0.615961,-3.81217,-2.9065,2.34111e-21
0.622365,-3.61959,-2.91014,-2.06114e-19
0.628706,-3.42158,-2.91353,2.03564e-19
0.634982,-3.21846,-2.9167,4.11732e-19
0.641194,-3.01058,-2.91966,2.03287e-19
0.647338,-2.79827,-2.92245,-4.12891e-19
0.653414,-2.58189,-2.9251,-2.03324e-19
0.659422,-2.36177,-2.92764,4.11328e-19
0.66536,-2.13828,-2.93011,-4.28279e-22
0.671226,-1.91177,-2.93256,4.7826e-22
0.677022,-1.68258,-2.93502,-3.73198e-21
0.682746,-1.45105,-2.93754,-2.0575e-19
0.688397,-1.21754,-2.94015,-4.17166e-19
0.693975,-0.982375,-2.94289,-4.13657e-19
0.69948,-0.745881,-2.94579,8.45443e-19
0.704912,-0.508373,-2.94888,8.38626e-19
0.710271,-0.270157,-2.95218,-4.2484e-19
0.715557,-0.0315236,-2.9557,-8.43361e-19
0.72077,0.207248,-2.95946,3.42813e-22
0.725909,0.445893,-2.96346,8.37963e-19
0.730977,0.684159,-2.9677,-1.54377e-22
0.735972,0.921812,-2.97217,-8.38569e-19
0.740895,1.15863,-2.97684,6.91429e-21
0.745748,1.39441,-2.98171,4.19289e-19
