y,U.mag,U_0,U_1,U_2
0,0,0,0,0
0.000148085,14.8137,14.8137,-0.000256681,-3.53719e-23
0.000296632,19.2219,19.2219,-0.000515281,-7.96813e-23
0.000445889,21.481,21.481,-0.000804514,-6.0653e-23
0.000596102,22.9706,22.9706,-0.00111961,-3.49438e-23
0.000747521,24.0726,24.0726,-0.00145263,-4.36855e-23
0.000900397,24.9421,24.9421,-0.00180057,-3.1981e-22
0.00105498,25.6572,25.6572,-0.00216313,7.68552e-23
0.00121153,26.2626,26.2626,-0.00254046,-5.51485e-23
0.00137031,26.7862,26.7862,-0.00293289,-9.28934e-23
0.00153158,27.2462,27.2462,-0.00334088,-8.4702e-23
0.0016956,27.6554,27.6554,-0.00376498,1.78289e-22
0.00186264,28.0231,28.0231,-0.00420587,5.78226e-22
0.00203299,28.3561,28.3561,-0.00466428,-7.89703e-22
0.00220692,28.6596,28.6596,-0.005141,-2.28745e-22
0.00238472,28.9378,28.9378,-0.00563691,1.08105e-21
0.00256668,29.1939,29.1939,-0.0061529,2.26383e-22
0.00275311,29.4307,29.4307,-0.00668993,-5.64853e-22
0.00294431,29.6502,29.6502,-0.00724899,2.41297e-22
0.00314059,29.8544,29.8544,-0.00783114,-4.46592e-23
0.00334229,30.0447,30.0447,-0.00843747,4.96035e-23
0.00354973,30.2224,30.2224,-0.0090691,-1.07618e-22
0.00376326,30.3886,30.3886,-0.00972722,-3.0767e-22
0.00398323,30.5443,30.5443,-0.010413,-3.71193e-22
0.00421,30.6903,30.6903,-0.0111278,6.88371e-22
0.00444394,30.8273,30.8273,-0.0118728,8.816e-22
0.00468544,30.956,30.956,-0.0126495,-2.48902e-22
0.00493491,31.0769,31.0769,-0.0134593,-4.04342e-22
0.00519274,31.1906,31.1906,-0.0143035,-5.39466e-22
0.00545937,31.2975,31.2975,-0.0151837,3.93016e-22
0.00573524,31.398,31.398,-0.0161015,-1.30584e-21
0.00602079,31.4925,31.4925,-0.0170585,3.10928e-22
0.00631651,31.5813,31.5813,-0.0180564,2.15146e-21
0.00662288,31.6647,31.6647,-0.0190969,-1.33104e-21
0.00694041,31.743,31.743,-0.0201818,-1.6733e-21
0.00726961,31.8165,31.8165,-0.0213129,1.08703e-21
0.00761104,31.8854,31.8854,-0.0224922,7.94988e-22
0.00796525,31.9499,31.9499,-0.0237218,-1.18523e-21
0.00833284,32.0102,32.0102,-0.0250037,-1.82239e-22
0.00871441,32.0665,32.0665,-0.0263399,8.55414e-22
0.00911058,32.119,32.119,-0.0277329,5.46382e-22
0.00952202,32.1678,32.1678,-0.0291849,5.37798e-22
0.0099494,32.2131,32.2131,-0.0306983,6.2987e-22
0.0103934,32.2551,32.2551,-0.0322755,-2.44496e-21
0.0108548,32.2938,32.2938,-0.0339192,-1.26383e-21
0.0113344,32.3294,32.3294,-0.035632,3.06327e-21
0.0118329,32.3621,32.362,-0.0374168,7.00804e-22
0.0123512,32.3918,32.3918,-0.0392763,-1.11958e-21
0.0128901,32.4188,32.4188,-0.0412135,6.42879e-22
0.0134505,32.4431,32.4431,-0.0432317,2.57584e-23
0.0140333,32.4648,32.4648,-0.0453338,-1.04935e-21
0.0146395,32.484,32.484,-0.0475234,0
0.0152702,32.5009,32.5008,-0.0498037,2.0359e-22
0.0159263,32.5154,32.5153,-0.0521784,-5.70439e-22
0.0166089,32.5276,32.5276,-0.0546512,-1.14888e-21
0.0173192,32.5377,32.5377,-0.0572258,1.82894e-22
0.0180584,32.5457,32.5457,-0.0599063,-8.81787e-22
0.0188276,32.5517,32.5516,-0.0626968,3.17991e-22
0.0196282,32.5557,32.5557,-0.0656015,1.75752e-21
0.0204615,32.5579,32.5578,-0.0686248,-8.4887e-22
0.0213288,32.5582,32.5581,-0.0717712,-8.48855e-22
0.0222316,32.5568,32.5567,-0.0750456,8.18551e-22
0.0231714,32.5536,32.5535,-0.0784527,2.10509e-21
0.0241497,32.5488,32.5487,-0.0819977,-2.88866e-22
0.0251682,32.5424,32.5423,-0.0856859,-1.58128e-21
0.0262286,32.5345,32.5344,-0.0895225,-4.64446e-22
0.0273326,32.5252,32.5251,-0.0935133,-1.51036e-24
0.0284821,32.5144,32.5143,-0.097664,7.48571e-22
0.0296789,32.5023,32.5021,-0.101981,-1.46237e-22
0.0309251,32.4889,32.4887,-0.106469,-1.54714e-22
0.0322227,32.4742,32.474,-0.111137,4.2919e-22
0.0335739,32.4584,32.4581,-0.11599,1.46176e-22
0.0349809,32.4414,32.4411,-0.121034,1.37557e-21
0.0364461,32.4233,32.4231,-0.126279,-2.50018e-22
0.0379719,32.4042,32.4039,-0.13173,-9.52837e-22
0.0395608,32.3842,32.3839,-0.137395,6.72736e-22
0.0412155,32.3632,32.3629,-0.143282,-7.91422e-22
0.0429387,32.3414,32.3411,-0.149399,2.4087e-22
0.0447333,32.3188,32.3184,-0.155755,-2.40571e-22
0.0466024,32.2955,32.2951,-0.162359,-5.18657e-22
0.0485489,32.2715,32.2711,-0.169218,-1.82268e-22
0.0505761,32.2469,32.2464,-0.176344,1.78708e-22
0.0526875,32.2218,32.2212,-0.183744,9.28676e-22
0.0548865,32.1961,32.1955,-0.19143,-1.865e-22
0.0571768,32.17,32.1694,-0.19941,-8.77263e-23
0.0595622,32.1436,32.143,-0.207697,-2.07866e-22
0.0620466,32.1169,32.1162,-0.216301,-1.68736e-23
0.0646343,32.09,32.0892,-0.225232,7.7681e-23
0.0673295,32.0629,32.0621,-0.234503,-1.30461e-22
0.0701368,32.0358,32.0349,-0.244126,1.01671e-23
0.0730607,32.0087,32.0077,-0.254113,2.30288e-22
0.0761062,31.9817,31.9806,-0.264476,2.85917e-22
0.0792784,31.9548,31.9536,-0.27523,-6.79079e-22
0.0825825,31.9282,31.9269,-0.286387,-8.45263e-22
0.0860241,31.9019,31.9005,-0.297961,7.79978e-22
0.0896088,31.876,31.8745,-0.309968,5.56443e-22
0.0933428,31.8507,31.849,-0.322421,-1.76224e-21
0.0972321,31.8259,31.8242,-0.335337,1.09492e-21
0.101283,31.8019,31.8,-0.348731,2.20612e-21
0.105503,31.7787,31.7766,-0.36262,-2.18781e-21
0.109899,31.7565,31.7542,-0.37702,-2.41616e-21
0.114478,31.7353,31.7328,-0.391948,2.2925e-22
0.119247,31.7152,31.7126,-0.407423,2.61175e-21
0.124215,31.6965,31.6936,-0.423462,-1.30654e-21
0.12939,31.6791,31.6761,-0.440085,-5.1522e-24
0.13478,31.6633,31.66,-0.457312,4.75383e-21
0.140395,31.6493,31.6457,-0.475161,-8.63483e-22
0.146245,31.6371,31.6333,-0.493654,-2.59374e-21
0.152337,31.6269,31.6228,-0.512811,2.61045e-21
0.158684,31.619,31.6145,-0.532655,-4.31085e-21
0.165296,31.6134,31.6086,-0.553208,1.67334e-21
0.172183,31.6104,31.6052,-0.574492,-1.71795e-21
0.179357,31.6102,31.6045,-0.59653,-6.86557e-21
0.18683,31.6129,31.6069,-0.619348,6.01366e-21
0.194615,31.619,31.6124,-0.642969,4.31898e-21
0.202724,31.6285,31.6214,-0.667418,-1.69796e-21
0.211171,31.6417,31.6341,-0.692722,1.58308e-20
0.219971,31.6589,31.6507,-0.718907,-7.22899e-21
0.229138,31.6805,31.6717,-0.746,-2.65089e-20
0.238688,31.7067,31.6973,-0.774028,1.2519e-20
0.248635,31.738,31.7278,-0.803021,1.80063e-20
0.258998,31.7746,31.7636,-0.833005,-9.1086e-21
0.269793,31.8169,31.8052,-0.864012,-5.37778e-21
0.281038,31.8655,31.8529,-0.896071,-3.8356e-21
0.292753,31.9207,31.9072,-0.929212,-3.63516e-21
0.304956,31.9831,31.9686,-0.963468,-5.89314e-21
0.317669,32.0532,32.0377,-0.998869,4.70296e-23
0.330912,32.1316,32.1149,-1.03545,7.87223e-21
0.344708,32.2182,32.2003,-1.07293,-1.14252e-20
0.358618,32.3112,32.2921,-1.11055,2.2177e-20
0.372405,32.4089,32.3886,-1.14769,1.1605e-20
0.386072,32.5104,32.4888,-1.18422,-2.15139e-20
0.399623,32.615,32.5922,-1.22016,-7.00407e-21
0.413064,32.7226,32.6985,-1.25554,1.34077e-20
0.426397,32.8327,32.8073,-1.29037,2.59578e-22
0.439627,32.945,32.9184,-1.32469,1.61777e-20
0.452757,33.0594,33.0314,-1.3585,4.79237e-22
0.465792,33.1755,33.1462,-1.39183,-2.25908e-20
0.478735,33.2931,33.2626,-1.4247,8.69718e-23
0.491589,33.4122,33.3804,-1.45712,-1.54329e-20
0.504358,33.5325,33.4995,-1.48911,5.91911e-21
0.517047,33.654,33.6197,-1.52068,2.11439e-20
0.529657,33.7766,33.7409,-1.55184,5.36612e-23
0.542192,33.9,33.8631,-1.58262,-5.90666e-21
0.554656,34.0243,33.9861,-1.61302,-1.46652e-20
0.567051,34.1495,34.1099,-1.64306,-8.88118e-21
0.579382,34.2754,34.2345,-1.67274,3.17144e-23
0.59165,34.402,34.3598,-1.70208,2.96301e-21
0.603859,34.5292,34.4858,-1.73109,2.59719e-20
0.616012,34.6572,34.6125,-1.75977,-2.92941e-21
0.628112,34.7857,34.7398,-1.78813,-2.75625e-21
0.640161,34.915,34.8677,-1.81619,2.31192e-20
0.652163,35.0449,34.9964,-1.84396,-5.32517e-24
0.66412,35.1755,35.1257,-1.87143,-2.89661e-20
0.676035,35.3068,35.2557,-1.89861,-8.75198e-21
0.687911,35.4388,35.3864,-1.92552,-8.75784e-21
0.699751,35.5714,35.5178,-1.95215,2.04706e-20
0.711556,35.7049,35.6501,-1.97852,2.02621e-20
0.72333,35.8392,35.7831,-2.00463,-2.93006e-20
0.735076,35.9744,35.917,-2.03048,9.0594e-21
0.746795,36.1105,36.0519,-2.05607,1.47543e-20
0.75849,36.2475,36.1877,-2.08141,-6.06644e-21
0.770165,36.3856,36.3246,-2.1065,-1.20681e-20
0.78182,36.5248,36.4625,-2.13135,1.23139e-20
0.79346,36.6651,36.6016,-2.15596,1.06472e-20
0.805085,36.8066,36.742,-2.18033,-1.55448e-20
0.816699,36.9495,36.8837,-2.20446,3.36577e-21
0.828304,37.0938,37.0268,-2.22835,3.02921e-21
0.839903,37.2395,37.1714,-2.252,-8.09292e-21
0.851496,37.3868,37.3175,-2.27542,-4.17032e-21
0.863088,37.5357,37.4653,-2.29861,-7.63649e-22
0.87468,37.6864,37.6148,-2.32156,4.90121e-21
0.886275,37.8389,37.7662,-2.34428,1.16529e-21
0.897874,37.9934,37.9196,-2.36677,2.45701e-21
0.909481,38.1499,38.075,-2.38902,-2.19895e-21
0.921096,38.3085,38.2325,-2.41105,2.45722e-21
0.932723,38.4693,38.3923,-2.43283,-2.05116e-21
0.944364,38.6324,38.5544,-2.45438,-1.15194e-20
0.956021,38.798,38.719,-2.4757,-1.60903e-20
0.967695,38.9661,38.886,-2.49678,-1.40628e-20
0.97939,39.1369,39.0558,-2.51762,1.28784e-20
0.991107,39.3104,39.2283,-2.53823,-3.74599e-22
1.00285,39.4867,39.4038,-2.55859,3.17083e-20
1.01462,39.666,39.5821,-2.57873,4.05194e-20
1.02641,39.8483,39.7635,-2.59866,-1.38476e-20
1.03824,40.0338,39.9481,-2.61834,-2.00576e-20
1.0501,40.2243,40.1377,-2.63758,-1.01686e-20
1.06199,40.4252,40.3378,-2.65631,-1.17923e-19
1.07392,40.642,40.5539,-2.67441,5.29879e-20
1.08589,40.8766,40.7878,-2.69168,1.27658e-19
1.0979,41.1264,41.0371,-2.70818,-4.37349e-20
1.10996,41.3853,41.2956,-2.72417,2.71791e-19
1.12205,41.6458,41.5555,-2.73994,5.7398e-20
1.1342,41.9011,41.8104,-2.75572,-2.85054e-19
1.14639,42.1479,42.0566,-2.77162,-7.06551e-20
1.15863,42.3852,42.2934,-2.78763,0
1.17093,42.6136,42.5212,-2.8037,-1.93655e-19
1.18328,42.8335,42.7406,-2.81973,5.05383e-21
1.19568,43.0455,42.952,-2.83565,1.98712e-19
1.20814,43.2498,43.1557,-2.85141,8.29339e-20
1.22066,43.4478,43.3531,-2.86699,-3.72115e-21
1.23324,43.6424,43.5471,-2.88247,-3.74508e-19
1.24589,43.8359,43.74,-2.89792,-3.43119e-20
1.2586,44.0287,43.9322,-2.91333,5.39833e-19
1.27137,44.2207,44.1236,-2.92866,6.25825e-19
1.28422,44.4111,44.3134,-2.94395,-9.26119e-19
1.29713,44.5994,44.5011,-2.9592,-1.52955e-18
1.31012,44.7848,44.6859,-2.97442,5.96028e-19
1.32317,44.9662,44.8667,-2.98961,1.36068e-18
1.3363,45.1426,45.0425,-3.00478,7.07922e-19
1.34951,45.3127,45.212,-3.01994,-1.9432e-18
1.36279,45.4752,45.3738,-3.03508,-6.28574e-20
1.37616,45.6287,45.5266,-3.05021,2.7868e-18
1.3896,45.7724,45.6696,-3.06531,-5.14531e-19
1.40313,45.9057,45.8022,-3.08039,-1.70508e-18
1.41673,46.029,45.9248,-3.09543,-4.92754e-19
1.43043,46.1433,46.0384,-3.11044,5.48978e-19
1.44421,46.2502,46.1444,-3.12542,-1.93001e-18
1.45807,46.3515,46.245,-3.14041,-1.87409e-18
1.47203,46.4491,46.3418,-3.15542,-1.07083e-18
1.48607,46.5446,46.4365,-3.17048,2.7946e-18
1.50021,46.6386,46.5297,-3.18565,4.4716e-18
1.51444,46.7302,46.6204,-3.20082,-6.52675e-19
1.52876,46.8166,46.706,-3.21582,3.96737e-18
1.54318,46.8951,46.7836,-3.23052,-3.2268e-18
1.5577,46.961,46.8487,-3.24473,-3.34456e-18
1.57231,47.0064,46.8934,-3.25792,3.25144e-18
1.58702,47.0244,46.9106,-3.2695,4.99783e-18
1.60184,47.0175,46.903,-3.27956,7.3929e-19
1.61675,46.9976,46.8824,-3.28892,-8.0476e-18
1.63178,46.9767,46.8608,-3.29835,2.35514e-18
1.6469,46.9601,46.8434,-3.30813,1.87618e-18
1.66213,46.9463,46.8289,-3.31817,-2.3638e-18
1.67747,46.9323,46.8141,-3.32825,-1.14414e-18
1.69292,46.9167,46.7977,-3.33833,-1.81562e-18
1.70848,46.9003,46.7806,-3.34846,4.04217e-18
1.72416,46.8849,46.7645,-3.35877,4.0562e-18
1.73995,46.8714,46.7501,-3.3693,-1.12497e-18
1.75585,46.8599,46.7378,-3.38006,-2.84176e-18
1.77187,46.8505,46.7276,-3.39107,-6.14703e-19
1.78802,46.8433,46.7196,-3.40233,9.53139e-21
1.80428,46.8384,46.7139,-3.41384,1.65963e-18
1.82067,46.8357,46.7103,-3.4256,2.51446e-20
1.83718,46.835,46.7087,-3.4376,-2.72727e-18
1.85383,46.836,46.7088,-3.44981,0
1.8706,46.8382,46.7101,-3.46221,4.24378e-18
1.88751,46.8413,46.7123,-3.47477,3.97156e-20
1.90455,46.8449,46.7149,-3.48746,-1.60453e-18
1.92173,46.8486,46.7176,-3.50025,1.02384e-18
1.93906,46.8519,46.72,-3.51312,-1.57679e-18
1.95652,46.8545,46.7216,-3.52605,-2.97009e-18
1.97414,46.8562,46.7223,-3.53902,9.71278e-19
1.9919,46.8568,46.722,-3.55201,3.93764e-18
2.00983,46.8562,46.7204,-3.56503,-1.93337e-18
2.02791,46.8544,46.7176,-3.57807,-4.88411e-18
2.04615,46.8514,46.7135,-3.59114,-2.69278e-20
2.06456,46.8474,46.7085,-3.60427,-3.70324e-18
2.0832,46.8425,46.7026,-3.61759,-3.01615e-18
2.10268,46.8369,46.6959,-3.63133,1.25664e-17
2.12304,46.831,46.6889,-3.64563,-1.44128e-18
2.1443,46.8251,46.6818,-3.66054,-1.03941e-17
2.16653,46.8195,46.675,-3.67611,4.09531e-18
2.18977,46.8145,46.6687,-3.6924,1.27249e-19
2.21406,46.8105,46.6633,-3.70947,-1.6261e-18
2.23946,46.8076,46.6589,-3.72736,7.51753e-20
2.266,46.8059,46.6558,-3.74611,2.73196e-18
2.29376,46.8055,46.6538,-3.76577,2.30151e-18
2.32277,46.8061,46.6527,-3.78634,2.7421e-18
2.35309,46.8074,46.6523,-3.80784,3.42985e-18
2.38478,46.8089,46.6519,-3.83027,-3.94012e-18
2.4179,46.8102,46.6513,-3.85363,-4.99296e-18
2.4525,46.8108,46.6499,-3.87792,2.86366e-18
2.48863,46.8107,46.6477,-3.90317,4.16146e-18
2.52636,46.81,46.6447,-3.92945,-2.83118e-18
2.56575,46.8088,46.6413,-3.9568,-4.61132e-19
2.60685,46.8078,46.6379,-3.9853,-9.78921e-19
2.64971,46.8075,46.6349,-4.01506,-6.21633e-19
2.6944,46.808,46.6328,-4.04612,2.31157e-20
2.74098,46.8094,46.6314,-4.07854,2.32463e-18
2.78948,46.8115,46.6305,-4.11233,2.74432e-18
2.83997,46.8137,46.6296,-4.14748,-3.57838e-18
2.89249,46.8157,46.6284,-4.184,-5.19232e-18
2.94709,46.8173,46.6265,-4.22193,-8.64775e-19
3.00381,46.8185,46.6242,-4.2613,3.28418e-18
3.06269,46.8199,46.6218,-4.30219,2.00477e-18
3.12377,46.8217,46.6197,-4.34467,-1.15948e-18
3.18706,46.8239,46.6178,-4.38878,-2.92473e-20
3.2526,46.8264,46.6159,-4.43452,1.8191e-18
3.3204,46.8287,46.6137,-4.4819,-1.7187e-18
3.39047,46.8308,46.6111,-4.53093,-3.44061e-18
3.46281,46.8327,46.6081,-4.58165,1.62474e-18
3.53741,46.8347,46.6049,-4.6341,2.65746e-18
3.61427,46.8368,46.6015,-4.6883,5.96214e-19
3.69335,46.8388,46.5979,-4.74427,-9.24593e-19
3.77463,46.8407,46.5939,-4.802,-6.0674e-19
3.85805,46.8423,46.5893,-4.86149,9.188e-19
3.94358,46.8437,46.5843,-4.92275,5.51135e-19
4.03114,46.845,46.5789,-4.9858,8.86995e-21
4.12067,46.8461,46.5731,-5.05062,-1.38786e-18
4.21207,46.847,46.5667,-5.11719,8.16539e-19
4.30525,46.8476,46.5597,-5.1855,-1.72762e-19
4.40012,46.848,46.5523,-5.25555,1.28313e-18
4.49655,46.8481,46.5443,-5.32728,1.03272e-18
4.59442,46.848,46.5357,-5.40068,-2.9351e-20
4.6936,46.8477,46.5265,-5.4757,-2.20489e-19
4.79395,46.8471,46.5168,-5.5523,-1.51358e-18
4.89531,46.8462,46.5066,-5.63042,1.00588e-18
4.99754,46.8452,46.4959,-5.71001,6.14652e-19
5.10047,46.8441,46.4848,-5.79101,-1.40997e-19
5.20393,46.8429,46.4732,-5.87334,-9.89436e-19
5.30776,46.8416,46.4612,-5.95691,-6.08919e-19
5.41178,46.8402,46.4489,-6.04164,-1.4181e-19
5.51581,46.8389,46.4364,-6.12743,-6.05162e-19
5.61969,46.8376,46.4236,-6.21418,-3.71749e-19
5.72323,46.8363,46.4104,-6.30173,-2.33912e-19
5.82627,46.8344,46.3964,-6.38989,3.40555e-21
5.92863,46.8309,46.3806,-6.47835,8.49524e-19
6.03016,46.8236,46.3608,-6.56654,2.36696e-19
6.13069,46.8085,46.3332,-6.65358,-6.2345e-19
6.23007,46.7792,46.2914,-6.73811,-2.36033e-19
6.32816,46.7252,46.225,-6.81799,8.81779e-19
6.42482,46.6292,46.1174,-6.88981,-7.73783e-21
6.51991,46.4686,45.9461,-6.94887,-6.45984e-19
6.61333,46.2231,45.6914,-6.99093,1.57234e-21
6.70495,45.8882,45.3488,-7.01517,4.25215e-19
6.79468,45.4809,44.935,-7.02541,-4.17596e-19
6.88244,45.0284,44.4767,-7.0273,5.29726e-19
6.96813,44.5515,43.9942,-7.02455,1.22598e-18
7.0517,44.0596,43.497,-7.01849,-2.93881e-19
7.13309,43.5574,42.9896,-7.00969,-2.42001e-19
7.21224,43.0482,42.4754,-6.99878,6.52742e-20
7.28912,42.5326,41.955,-6.98566,-1.72403e-19
7.3637,42.0034,41.4213,-6.96849,-1.59435e-19
7.43597,41.4388,40.8531,-6.94234,6.37195e-19
7.5059,40.7923,40.2051,-6.89669,-9.9352e-19
7.57351,39.9759,39.3915,-6.81036,-1.45805e-18
7.63878,38.8551,38.2821,-6.64784,7.44955e-19
7.70175,37.3057,36.7572,-6.37373,8.75533e-19
7.76243,35.33,34.8187,-5.98901,1.31934e-19
7.82084,33.09,32.6224,-5.5428,-2.88036e-19
7.87701,30.7774,30.3533,-5.09167,1.6265e-19
7.93098,28.4919,28.1078,-4.66208,7.9504e-21
7.9828,26.2208,25.8742,-4.24884,-2.23257e-19
8.0325,23.9144,23.6039,-3.84086,4.44432e-19
8.08014,21.6055,21.3288,-3.44615,-2.05783e-19
8.12576,19.398,19.151,-3.08593,6.75417e-20
8.16941,17.3764,17.1535,-2.77441,2.36972e-19
8.21116,15.5708,15.3668,-2.51192,-2.27679e-19
8.25106,13.9649,13.7757,-2.2908,-1.48528e-19
8.28917,12.5169,12.3393,-2.10073,-4.68677e-20
8.32554,11.1824,11.014,-1.93313,8.74311e-20
8.36023,9.93242,9.77105,-1.78274,1.03828e-19
8.39331,8.75366,8.59725,-1.64678,6.59702e-20
8.42483,7.63871,7.48504,-1.52361,-1.55893e-19
8.45484,6.58133,6.42788,-1.41163,1.17469e-19
8.48341,5.5765,5.42011,-1.3095,7.15101e-20
8.5106,4.62054,4.45682,-1.2161,-1.67423e-19
8.53646,3.71173,3.53382,-1.13047,4.64037e-20
8.56104,2.852,2.64748,-1.0518,5.04856e-20
8.5844,2.05319,1.79469,-0.979375,-8.75847e-20
8.60659,1.36435,0.972781,-0.912591,1.05273e-20
8.62766,0.960993,0.179421,-0.850913,3.40541e-20
8.64767,1.05121,-0.587404,-0.793872,-1.64846e-20
8.66665,1.53944,-1.32945,-0.741054,-1.07058e-20
8.68467,2.16758,-2.04825,-0.692093,-1.1006e-20
8.70175,2.8226,-2.74516,-0.64666,1.53113e-20
8.71795,3.47551,-3.42138,-0.604462,1.07007e-20
8.73331,4.11759,-4.07797,-0.565234,2.78336e-20
8.74786,4.7458,-4.71587,-0.528738,1.50903e-20
8.76165,5.35906,-5.33592,-0.494758,-2.45779e-20
8.77471,5.95709,-5.9389,-0.4631,7.18525e-21
8.78709,6.53998,-6.52547,-0.433586,-1.17894e-20
8.79881,7.10795,-7.09626,-0.406054,-6.3161e-21
8.8099,7.66132,-7.65181,-0.380356,1.29704e-20
8.8204,8.20043,-8.19264,-0.356358,4.67587e-21
8.83035,8.72563,-8.71921,-0.333935,9.24365e-21
8.83975,9.23726,-9.23193,-0.312976,-2.25429e-21
8.84866,9.73564,-9.7312,-0.293375,-6.16561e-21
8.85708,10.2211,-10.2173,-0.275038,-1.79713e-21
