trial_index,arm_name,trial_status,generation_method,TOTAL_RMSE,a1,betaStar
0,0_0,COMPLETED,CenterOfSearchSpace,4.748237325425424,0.31,0.09
1,1_0,COMPLETED,Sobol,5.512985929007266,0.2606980606913567,0.13198115766048432
2,2_0,COMPLETED,Sobol,3.5569813984389507,0.3795757050812245,0.04947108820080757
3,3_0,COMPLETED,Sobol,4.8822049573977,0.40007236161269255,0.10313500695861877
4,4_0,COMPLETED,Sobol,5.185431933885778,0.19903071373701098,0.07822625409811736
5,5_0,COMPLETED,BoTorch,3.549242414284818,0.465,0.045
6,6_0,COMPLETED,BoTorch,3.5307548782714684,0.4115307879904375,0.045
7,7_0,COMPLETED,BoTorch,3.588245768077901,0.44200693979146577,0.05351734923268088
8,8_0,COMPLETED,BoTorch,3.5409383229173725,0.3814832181045266,0.045
9,9_0,COMPLETED,BoTorch,3.545143017293293,0.42747378089586435,0.045
10,10_0,COMPLETED,BoTorch,3.5672105862834886,0.4210740520528193,0.04877504703385511
11,11_0,COMPLETED,BoTorch,3.546109576999693,0.4414821802960374,0.045
12,12_0,COMPLETED,BoTorch,3.543472743581708,0.39971955025666206,0.045
13,13_0,COMPLETED,BoTorch,3.544576723963867,0.41888438692972213,0.045
14,14_0,COMPLETED,BoTorch,3.522571593749534,0.3222098053689074,0.045
