y,U_0,U_1,U_2
0,0,0,0
0.000149199,7.73054,-0.000621958,-3.36794e-23
0.000303409,9.01371,-0.00121516,-7.16093e-23
0.000463072,9.52944,-0.00190852,4.09087e-24
0.00062865,9.82053,-0.00269331,2.51835e-23
0.000800627,10.0183,-0.00354895,-1.09729e-25
0.000979511,10.167,-0.00446153,-1.09715e-25
0.00116584,10.286,-0.00542732,6.61199e-26
0.00136016,10.3853,-0.00644707,6.61057e-26
0.00156307,10.4706,-0.0075229,-5.28889e-23
0.00177519,10.5457,-0.00865749,-5.74443e-24
0.00199718,10.6128,-0.00985397,4.71445e-23
0.0022297,10.6737,-0.0111159,7.78659e-23
0.0024735,10.7296,-0.0124472,-6.57729e-23
0.00272934,10.7814,-0.013852,-3.44136e-22
0.00299801,10.8297,-0.0153351,1.74588e-22
0.00328037,10.8752,-0.0169013,2.57451e-22
0.00357732,10.9183,-0.018556,-2.28924e-22
0.00388979,10.9592,-0.0203046,-2.17046e-22
0.00421879,10.9983,-0.0221534,9.59679e-23
0.00456537,11.0359,-0.0241085,2.01723e-22
0.00493064,11.0721,-0.0261768,1.85361e-22
0.00531578,11.107,-0.0283655,-1.71702e-22
0.00572203,11.141,-0.0306823,-5.29246e-22
0.0061507,11.174,-0.0331351,1.6096e-22
0.00660317,11.2062,-0.0357327,3.33545e-22
0.0070809,11.2376,-0.0384841,1.09557e-26
0.00758543,11.2685,-0.0413989,-1.05839e-26
0.0081184,11.2988,-0.0444873,8.22848e-27
0.00868151,11.3287,-0.0477602,-2.89546e-22
0.00927657,11.3582,-0.051229,-2.89214e-22
0.00990551,11.3873,-0.0549056,5.51284e-22
0.0105703,11.4162,-0.058803,2.81789e-22
0.0112731,11.4449,-0.0629345,-7.97234e-22
0.0120162,11.4735,-0.0673144,5.05295e-22
0.0128018,11.5019,-0.0719577,5.27105e-22
0.0136326,11.5303,-0.0768802,-5.05888e-22
0.014511,11.5588,-0.0820987,-4.87768e-22
0.0154398,11.5872,-0.0876306,4.69451e-22
0.0164219,11.6159,-0.0934945,1.42797e-21
0.0174603,11.6446,-0.0997097,-4.53532e-22
0.0185582,11.6736,-0.106297,-9.24285e-22
0.0197189,11.7029,-0.113277,8.94975e-22
0.0209459,11.7325,-0.120673,8.94023e-22
0.0222428,11.7625,-0.128507,6.66858e-25
0.0236134,11.7929,-0.136806,-8.50994e-22
0.0250617,11.8238,-0.145593,-1.27961e-23
0.0265918,11.8552,-0.154897,1.3202e-23
0.0282081,11.8873,-0.164744,-8.27841e-22
0.029915,11.9199,-0.175164,-1.6023e-21
0.0317171,11.9533,-0.186187,-2.35202e-23
0.0336193,11.9875,-0.197843,4.69034e-21
0.0356266,12.0225,-0.210166,1.58017e-21
0.0377441,12.0585,-0.223187,-1.5292e-21
0.0399771,12.0954,-0.236941,-1.48554e-21
0.042331,12.1333,-0.251463,-2.95501e-21
0.0448114,12.1724,-0.266788,-1.46954e-21
0.0474241,12.2126,-0.282954,2.84417e-21
0.0501748,12.2541,-0.299995,4.25364e-21
0.0530694,12.2969,-0.317951,-1.35666e-21
0.056114,12.3411,-0.336858,-2.76263e-21
0.0593145,12.3869,-0.356755,-2.68556e-21
0.0626771,12.4341,-0.377678,-4.37592e-23
0.0662077,12.4831,-0.399664,3.7081e-23
0.0699124,12.5337,-0.422751,2.51741e-21
0.073797,12.5862,-0.446973,2.60092e-21
0.0778675,12.6406,-0.472365,-2.51762e-21
0.0821295,12.6969,-0.49896,3.57549e-24
0.0865883,12.7553,-0.526788,-2.40648e-21
0.0912494,12.8159,-0.555879,-4.31092e-23
0.0961174,12.8787,-0.586257,4.69182e-21
0.101197,12.9438,-0.617945,4.2935e-23
0.106492,13.0114,-0.650964,-6.78793e-21
0.112007,13.0814,-0.685327,-8.53479e-23
0.117744,13.1539,-0.721045,4.41704e-21
0.123706,13.2292,-0.758125,0
0.129894,13.3071,-0.796567,-4.19914e-21
0.136311,13.3878,-0.836366,-8.34038e-23
0.142956,13.4714,-0.877511,6.76884e-23
0.149829,13.5578,-0.919984,-8.16224e-23
0.156929,13.6473,-0.963761,3.96907e-21
0.164253,13.7397,-1.00881,-3.83624e-21
0.171798,13.8352,-1.0551,3.68613e-21
0.179561,13.9337,-1.10257,1.37766e-22
0.187537,14.0353,-1.15118,-3.76622e-21
0.195719,14.1401,-1.20088,-3.51093e-21
0.204101,14.248,-1.25158,-7.14895e-21
0.212674,14.3589,-1.30322,-3.37754e-23
0.221432,14.4729,-1.35573,-3.44164e-23
0.230363,14.59,-1.40901,-3.46038e-23
0.239458,14.7101,-1.46297,6.49505e-21
0.248706,14.8331,-1.51754,9.5069e-23
0.258095,14.9591,-1.5726,6.18181e-21
0.267614,15.0878,-1.62805,1.26184e-20
0.277251,15.2192,-1.68381,3.3995e-23
0.286992,15.3532,-1.73976,-5.97361e-21
0.296825,15.4897,-1.7958,-1.19016e-20
0.306737,15.6285,-1.85183,-7.81121e-23
0.306737,15.6285,-1.85183,-7.81121e-23
0.316717,15.7695,-1.90776,-5.60732e-21
0.326751,15.9127,-1.96349,-1.14439e-20
0.336828,16.0578,-2.01894,5.57563e-21
0.346937,16.2048,-2.07401,-5.4006e-21
0.357066,16.3536,-2.12863,-1.09984e-20
0.367206,16.504,-2.18272,5.32455e-21
0.377348,16.656,-2.23622,5.347e-21
0.387484,16.8093,-2.28907,5.22452e-21
0.397606,16.964,-2.34121,-5.08038e-21
0.407708,17.1198,-2.39261,-5.23694e-21
0.417787,17.2768,-2.44322,5.08369e-21
0.427837,17.4349,-2.49302,1.6302e-23
0.437857,17.594,-2.54198,0
0.447846,17.754,-2.59009,-4.89212e-21
0.457804,17.9151,-2.63735,-4.54356e-23
0.467732,18.0771,-2.68375,4.84641e-21
0.477632,18.2401,-2.72929,9.60041e-21
0.487509,18.4042,-2.77399,1.00815e-22
0.497368,18.5694,-2.81787,-9.5361e-21
0.507215,18.7358,-2.86093,-3.70576e-23
0.517058,18.9035,-2.9032,0
0.526904,19.0727,-2.94471,-9.37344e-21
0.536763,19.2435,-2.98548,-1.51943e-23
0.546646,19.4161,-3.02554,9.3577e-21
0.556565,19.5908,-3.06492,9.37791e-21
0.56653,19.7676,-3.10364,-4.73739e-21
0.576557,19.9469,-3.14174,-1.4098e-20
0.586658,20.1288,-3.17923,9.51442e-21
0.596849,20.3138,-3.21615,4.71148e-21
0.607144,20.502,-3.2525,-4.78592e-21
0.617561,20.6927,-3.2881,-4.7619e-21
0.627874,20.8832,-3.32247,-4.76396e-21
0.637962,21.0714,-3.35526,-2.48798e-23
0.647834,21.2566,-3.38643,-2.46867e-23
0.657495,21.439,-3.41606,4.5577e-21
0.666954,21.6186,-3.44422,5.32506e-23
0.676218,21.7953,-3.47099,-5.46183e-23
0.685294,21.9693,-3.49643,8.83325e-21
0.694189,22.1407,-3.5206,-4.28083e-21
0.70291,22.3096,-3.54357,-4.37933e-21
0.711464,22.4759,-3.5654,4.28247e-21
0.719857,22.6398,-3.58615,-1.94462e-23
0.728096,22.8014,-3.60586,-3.00548e-25
0.736188,22.9607,-3.62458,4.12925e-21
0.744139,23.118,-3.64237,4.12924e-21
0.751954,23.2731,-3.65926,-8.06707e-21
0.759639,23.4263,-3.6753,-4.10632e-21
0.767201,23.5776,-3.69053,1.36904e-23
0.774644,23.7272,-3.70499,-1.30227e-23
0.781974,23.875,-3.7187,2.87549e-23
0.789195,24.0213,-3.73171,-2.74915e-23
0.796314,24.166,-3.74404,7.75203e-21
0.803334,24.3093,-3.75573,3.87259e-21
0.81026,24.4513,-3.76679,1.82725e-23
0.817097,24.592,-3.77725,-3.80832e-21
0.823848,24.7315,-3.78714,-7.60002e-21
0.830518,24.8699,-3.79648,-1.56277e-23
0.83711,25.0073,-3.80528,2.19743e-23
0.843629,25.1437,-3.81357,-1.17328e-23
0.850077,25.2793,-3.82137,1.87153e-21
0.856459,25.4141,-3.82868,-3.72885e-21
0.862777,25.5481,-3.83553,1.86063e-21
0.869035,25.6815,-3.84193,5.58058e-21
0.875236,25.8143,-3.84789,1.14795e-24
0.881383,25.9465,-3.85342,-1.86065e-21
0.887478,26.0783,-3.85853,1.86136e-21
0.893524,26.2097,-3.86324,1.86143e-21
0.899524,26.3408,-3.86755,-1.86564e-21
0.905481,26.4715,-3.87148,-5.59563e-21
0.911396,26.602,-3.87502,1.87394e-21
0.917272,26.7323,-3.87819,3.73346e-21
0.923111,26.8625,-3.88099,-1.87037e-21
0.928915,26.9927,-3.88342,-9.46721e-22
0.934687,27.1228,-3.88551,-9.42115e-22
0.940428,27.2529,-3.88724,1.90648e-21
0.946141,27.3831,-3.88862,-9.71261e-22
0.951826,27.5135,-3.88965,2.19167e-23
0.957487,27.644,-3.89035,1.43567e-21
0.963124,27.7747,-3.89071,-1.4569e-21
0.968739,27.9056,-3.89073,4.93464e-22
0.974334,28.0369,-3.89042,2.43512e-22
0.979911,28.1684,-3.88978,5.0259e-22
0.98547,28.3004,-3.8888,2.45073e-22
0.991014,28.4327,-3.8875,-4.73216e-22
0.996544,28.5655,-3.88587,6.42425e-23
1.00206,28.6988,-3.8839,-3.27857e-23
1.00757,28.8326,-3.88162,1.98711e-22
1.01306,28.967,-3.879,-3.09066e-24
1.01855,29.1019,-3.87606,2.70642e-22
1.02403,29.2375,-3.87278,-5.51486e-22
1.0295,29.3737,-3.86918,-1.64124e-21
1.03497,29.5106,-3.86525,-5.5225e-22
1.04044,29.6482,-3.86098,-3.82725e-25
1.0459,29.7865,-3.85639,1.16039e-21
1.05136,29.9256,-3.85145,-2.71852e-23
1.05682,30.0657,-3.84618,2.13667e-23
1.0623,30.2067,-3.84056,2.41749e-21
1.06779,30.3489,-3.8346,-3.15518e-23
1.07328,30.4921,-3.82827,-1.2225e-21
1.0788,30.6365,-3.82159,-7.90076e-25
1.08432,30.7821,-3.81455,2.64201e-21
1.08987,30.9288,-3.80714,2.64096e-21
1.09543,31.0767,-3.79936,-2.78389e-21
1.10101,31.2259,-3.79121,-2.7647e-21
1.10661,31.3763,-3.78268,2.92835e-21
1.11223,31.528,-3.77377,-7.59844e-23
1.11788,31.6809,-3.76448,-3.02892e-21
1.12355,31.835,-3.75482,1.02867e-24
1.12925,31.9902,-3.74479,6.52453e-21
1.13497,32.1466,-3.73439,3.17089e-21
1.14073,32.304,-3.72362,-6.78747e-21
1.14651,32.4624,-3.7125,-3.45934e-21
1.15233,32.6218,-3.70102,-7.37173e-21
1.15819,32.7821,-3.68919,7.86693e-21
1.16408,32.9434,-3.677,7.35303e-21
1.17001,33.1056,-3.66447,-7.88534e-21
1.17599,33.2686,-3.65159,8.49079e-21
1.182,33.4323,-3.63836,-3.32801e-22
1.18806,33.5969,-3.62479,-8.8234e-21
1.19417,33.7621,-3.6109,7.74052e-34
1.20033,33.9278,-3.59668,-9.90553e-21
1.20655,34.094,-3.58215,4.51334e-22
1.21282,34.2605,-3.56734,1.03571e-20
1.21915,34.4271,-3.55226,-2.42966e-33
1.22554,34.5936,-3.53695,-1.15388e-33
1.232,34.7596,-3.52144,-2.54181e-20
1.23852,34.9249,-3.50579,-1.19465e-20
1.24512,35.089,-3.49005,2.75135e-20
1.25179,35.2515,-3.47429,1.40424e-20
1.25854,35.4117,-3.4586,3.15907e-20
1.26537,35.5691,-3.44308,-1.83174e-20
1.27229,35.7229,-3.42785,-3.24376e-20
1.2793,35.8723,-3.41305,-1.16034e-21
1.28641,36.0165,-3.39881,2.0413e-20
1.29362,36.1545,-3.38529,-1.5058e-21
1.30093,36.2857,-3.37263,-1.95971e-20
1.30836,36.4092,-3.36098,-6.58613e-20
1.3159,36.5248,-3.35043,-4.26191e-20
1.32357,36.632,-3.34107,8.92739e-20
1.33137,36.731,-3.33292,4.5086e-20
1.3393,36.8221,-3.32595,9.62021e-23
1.34737,36.9058,-3.32012,-5.44277e-23
1.3556,36.9831,-3.31531,-1.41918e-22
1.36398,37.0546,-3.31143,-1.98586e-22
1.37252,37.1213,-3.30834,4.1124e-24
1.38125,37.1841,-3.30593,-4.19403e-20
1.39015,37.2438,-3.30406,-7.87757e-22
1.39925,37.3011,-3.30264,4.13578e-20
1.40855,37.3566,-3.30157,-4.0338e-20
1.41807,37.4109,-3.30075,-5.86692e-22
1.4278,37.4645,-3.30011,4.60832e-22
1.43778,37.5178,-3.29957,3.8597e-20
1.44801,37.5712,-3.29909,3.92056e-20
1.45849,37.625,-3.2986,-3.86793e-20
1.46925,37.6795,-3.29806,-5.0732e-33
1.48031,37.7349,-3.29742,-3.85296e-20
1.49167,37.7914,-3.29665,-4.33124e-23
1.50335,37.8492,-3.2957,3.84732e-20
