trial_index,arm_name,trial_status,generation_method,TOTAL_RMSE,a1,betaStar,Iterations
0,0_0,COMPLETED,CenterOfSearchSpace,5.112783749415064,0.31,0.09,7255
1,1_0,COMPLETED,Sobol,5.032716913650903,0.27780367076396945,0.07849000006914139,7321
2,2_0,COMPLETED,Sobol,5.676480299460081,0.3766956158448011,0.13477087874896826,10000
3,3_0,COMPLETED,Sobol,4.053168775026943,0.4182903643790633,0.04523160883225501,10000
4,4_0,COMPLETED,Sobol,5.507103588847469,0.1684330817591399,0.10149601095356048,10000
5,5_0,COMPLETED,BoTorch,5.711819048156239,0.155,0.045,10000
6,6_0,COMPLETED,BoTorch,4.050287632522334,0.465,0.045,10000
7,7_0,COMPLETED,BoTorch,4.04922512423074,0.38423163160919654,0.045,10000
8,8_0,COMPLETED,BoTorch,4.282677876699281,0.465,0.05964544660354391,8574
9,9_0,COMPLETED,BoTorch,4.049895500642937,0.43160163843602634,0.045,10000
10,10_0,COMPLETED,BoTorch,4.049561030919266,0.4152729438102467,0.045,10000
11,11_0,COMPLETED,BoTorch,4.050025543399572,0.44385654325613827,0.045,10000
12,12_0,COMPLETED,BoTorch,4.049755594563253,0.4236567918108567,0.045,10000
13,13_0,COMPLETED,BoTorch,4.049553007904755,0.4040204698374916,0.045,10000
14,14_0,COMPLETED,BoTorch,4.049547515795562,0.4107785029971952,0.045,10000
