y,U_0,U_1,U_2
0,0,0,0
0.000148085,10.824,-5.97886e-05,-5.9053e-25
0.000296632,13.2435,-0.000122536,-1.35943e-24
0.000445889,14.4309,-0.00019292,-9.69183e-25
0.000596102,15.1677,-0.000272178,-5.45235e-25
0.000747521,15.6891,-0.000358493,-6.36661e-25
0.000900397,16.0877,-0.000450636,-4.51799e-24
0.00105498,16.408,-0.000548055,9.73692e-25
0.00121153,16.6747,-0.000650494,-6.89388e-25
0.00137031,16.9025,-0.000757819,-1.29207e-24
0.00153158,17.1011,-0.000869973,-1.07913e-24
0.0016956,17.2769,-0.000986961,2.31295e-24
0.00186264,17.4348,-0.00110884,7.64437e-24
0.00203299,17.5779,-0.0012357,-1.04074e-23
0.00220692,17.709,-0.00136767,-2.9969e-24
0.00238472,17.83,-0.00150492,1.42936e-23
0.00256668,17.9424,-0.00164764,3.01083e-24
0.00275311,18.0475,-0.00179603,-7.44703e-24
0.00294431,18.1463,-0.00195034,3.23184e-24
0.00314059,18.2396,-0.00211081,-7.4564e-25
0.00334229,18.3281,-0.00227773,6.81421e-25
0.00354973,18.4123,-0.00245139,-1.57588e-24
0.00376326,18.4928,-0.00263211,-4.25099e-24
0.00398323,18.5699,-0.00282022,-5.20664e-24
0.00421,18.644,-0.00301607,1.00372e-23
0.00444394,18.7154,-0.00322003,1.24335e-23
0.00468544,18.7843,-0.00343249,-3.58042e-24
0.00493491,18.851,-0.00365386,-6.0811e-24
0.00519274,18.9158,-0.00388458,-7.84663e-24
0.00545937,18.9786,-0.00412509,5.96026e-24
0.00573524,19.0398,-0.00437586,-2.00127e-23
0.00602079,19.0994,-0.00463738,4.92252e-24
0.00631651,19.1577,-0.00491016,3.3308e-23
0.00662288,19.2146,-0.00519474,-2.0993e-23
0.00694041,19.2702,-0.00549169,-2.64278e-23
0.00726961,19.3248,-0.00580158,1.77326e-23
0.00761104,19.3783,-0.00612502,1.28803e-23
0.00796525,19.4308,-0.00646264,-1.96401e-23
0.00833284,19.4825,-0.00681512,-2.73925e-24
0.00871441,19.5333,-0.00718315,1.43475e-23
0.00911058,19.5833,-0.00756743,9.18125e-24
0.00952202,19.6325,-0.00796872,9.10281e-24
0.0099494,19.6811,-0.00838781,1.11683e-23
0.0103934,19.729,-0.00882552,-4.3827e-23
0.0108548,19.7763,-0.00928268,-2.23841e-23
0.0113344,19.8231,-0.00976019,5.61628e-23
0.0118329,19.8693,-0.010259,1.3008e-23
0.0123512,19.9151,-0.01078,-2.1078e-23
0.0128901,19.9603,-0.0113243,1.23044e-23
0.0134505,20.0051,-0.0118928,2.6638e-25
0.0140333,20.0496,-0.0124867,-2.03526e-23
0.0146395,20.0936,-0.0131071,0
0.0152702,20.1373,-0.0137552,3.80268e-24
0.0159263,20.1806,-0.0144323,-1.14194e-23
0.0166089,20.2237,-0.0151395,-2.30361e-23
0.0173192,20.2664,-0.0158783,3.58798e-24
0.0180584,20.3089,-0.01665,-1.83971e-23
0.0188276,20.3512,-0.0174561,7.0529e-24
