y,U_0,U_1,U_2
0,0,0,0
1.16106e-05,0.0129702,9.27588e-06,0
2.56565e-05,0.0368473,0.000285679,0
4.26602e-05,0.053737,0.00117924,7.52134e-21
6.32576e-05,0.0560968,0.00305467,-1.5652e-21
8.82233e-05,0.0323817,0.00661969,2.9329e-20
0.000118501,-0.0348676,0.0130754,-7.27511e-21
0.00015524,-0.168643,0.0244517,-1.49615e-19
0.000199841,-0.388617,0.043725,2.40552e-19
0.000254011,-0.69275,0.0739037,-4.75406e-20
0.000319833,-1.05249,0.116816,-2.47496e-19
0.000399843,-1.43246,0.173222,3.7626e-19
0.000497136,-1.80564,0.243304,4.43308e-20
0.000615486,-2.15216,0.326313,-1.57046e-19
0.000759498,-2.45632,0.42033,-2.08004e-20
0.000934787,-2.70639,0.522717,-2.91299e-20
0.00114821,-2.895,0.630784,2.20357e-20
0.00140812,-3.01854,0.742444,0
0.00172472,-3.07512,0.85648,0
0.00211046,-3.06188,0.972016,-5.91946e-20
0.00258055,-2.9731,1.08754,5.30541e-20
0.00315353,-2.79855,1.19984,1.88092e-18
0.00385204,-2.52257,1.3032,9.70207e-19
0.00470373,-2.12666,1.38686,-1.50759e-18
0.00574233,-1.64814,1.43252,-8.66638e-19
0.00657366,-1.18682,1.43555,-1.16006e-18
0.00729408,-0.782835,1.4102,2.54799e-19
0.0079201,-0.419233,1.36847,1.10729e-18
0.00846603,-0.0815219,1.31713,-2.47113e-19
0.00894425,0.251129,1.25994,1.77743e-20
0.00936552,0.603949,1.19854,3.01161e-18
0.00973924,1.00813,1.13267,-2.48973e-19
0.0100736,1.50744,1.0588,-4.79118e-18
0.010376,2.15327,0.973985,3.11901e-18
0.0106528,2.98183,0.878167,6.38601e-19
0.0108964,3.99203,0.769853,-1.65144e-18
0.0111152,5.15105,0.649177,1.28928e-18
0.0113126,6.41594,0.519316,-6.69877e-19
0.0114918,7.74912,0.383365,5.86159e-20
0.0116552,9.12382,0.244577,-8.42655e-19
0.0118052,10.5201,0.10641,-7.02219e-20
0.0119436,11.9222,-0.027676,3.48088e-19
0.012072,13.317,-0.1546,3.40254e-20
0.0121919,14.6939,-0.271927,0
0.0123044,16.0447,-0.377994,-1.16898e-19
0.0124107,17.3633,-0.471925,5.99048e-20
0.0125116,18.6461,-0.553533,1.45523e-19
0.0126078,19.8908,-0.623233,-6.16398e-20
0.0127,21.082,-0.681297,-6.13452e-20
0.0127846,22.243,-0.729354,2.12425e-21
0.0128776,23.4675,-0.771067,1.80964e-19
0.0129804,24.8155,-0.807284,-1.78351e-20
0.0130945,26.2898,-0.835596,1.86283e-20
0.0132214,27.8707,-0.853615,2.75634e-20
0.0133634,29.4939,-0.860417,-9.63424e-19
0.0135229,31.035,-0.858999,-4.72339e-19
0.0137028,32.3467,-0.856806,1.14608e-18
0.0139066,33.3685,-0.860776,4.42559e-19
0.0141385,34.1691,-0.87245,2.95511e-19
0.0144035,34.8563,-0.889373,-4.76736e-19
0.0147076,35.5006,-0.90875,-1.59174e-19
0.0150582,36.1425,-0.929256,6.07746e-19
0.0154839,36.8008,-0.95054,-4.28172e-19
0.0159788,37.4737,-0.97225,-1.09634e-20
0.0165559,38.1615,-0.994221,4.82864e-21
0.0172308,38.8722,-1.0165,-6.4022e-19
0.0180222,39.6149,-1.03916,-5.92064e-19
0.0189526,40.4016,-1.06241,1.33771e-18
0.0200493,41.2492,-1.08647,5.879e-19
0.0213448,42.1807,-1.11144,-7.45514e-19
0.0228785,43.2225,-1.13737,0
0.0246978,44.3865,-1.16216,-1.99723e-19
0.0268599,45.6112,-1.18607,-1.63069e-20
0.0294337,46.6407,-1.19831,2.99943e-19
0.0325023,47.07,-1.1862,-1.0109e-19
0.0361662,46.9679,-1.15945,-4.28612e-20
0.0405466,46.7866,-1.12279,5.42925e-20
0.0457897,46.6448,-1.0707,-1.11781e-19
0.0520723,46.5007,-1.0031,4.5308e-20
0.058149,46.3769,-0.928642,3.29514e-20
0.058149,46.3769,-0.928642,3.29514e-20
0.0642652,46.2726,-0.850728,6.81141e-21
0.070424,46.1843,-0.770239,5.00313e-21
0.0766284,46.1097,-0.687736,3.45793e-23
0.0829487,46.0495,-0.606401,-1.55313e-21
0.0883767,46.005,-0.534699,-1.75186e-20
0.0927677,45.91,-0.476288,3.88532e-21
0.0964184,45.388,-0.419702,2.2259e-20
0.0994537,44.0827,-0.353469,-4.00235e-22
0.101977,42.4188,-0.291813,-1.9413e-21
