y,U_0,U_1,U_2
0,0,0,0
1.16106e-05,-0.177761,0.000449172,0
2.56565e-05,-0.399563,0.00180617,0
4.26602e-05,-0.689695,0.00468784,7.99626e-21
6.32576e-05,-1.06933,0.00999995,-1.19212e-21
8.82233e-05,-1.55202,0.0190831,2.59792e-20
0.000118501,-2.11015,0.0334344,2.7712e-21
0.00015524,-2.65982,0.0536088,-8.39631e-20
0.000199841,-3.12225,0.0791055,7.30463e-20
0.000254011,-3.47857,0.109693,1.15669e-21
0.000319833,-3.7471,0.14592,-7.72916e-20
0.000399843,-3.94947,0.188671,1.22551e-19
0.000497136,-4.10058,0.238943,1.09393e-20
0.000615486,-4.20894,0.297841,-5.25224e-20
0.000759498,-4.27841,0.366564,-1.0459e-20
0.000934787,-4.30944,0.446356,-1.26122e-20
0.00114821,-4.29978,0.538418,1.07726e-20
0.00140812,-4.24476,0.643774,0
0.00172472,-4.13724,0.763028,0
0.00211046,-3.96716,0.896027,-3.46312e-20
0.00258055,-3.72123,1.04133,3.02686e-20
0.00315353,-3.38295,1.19525,1.06458e-18
0.00385204,-2.93215,1.35044,5.39064e-19
0.00470373,-2.34497,1.4932,-8.88018e-19
0.00574233,-1.67215,1.59156,-5.256e-19
0.00657366,-1.04082,1.626,-7.21835e-19
0.00729408,-0.49194,1.6094,1.7877e-19
0.0079201,0.00621971,1.5554,7.03608e-19
0.00846603,0.482174,1.4708,-1.53576e-19
0.00894425,0.973334,1.35845,-2.04627e-21
0.00936552,1.51838,1.22035,2.02268e-18
0.00973924,2.15718,1.05949,-1.10579e-19
0.0100736,2.93561,0.878714,-3.09613e-18
0.010376,3.89476,0.684715,1.93052e-18
0.0106528,5.03418,0.490502,3.59927e-19
0.0108964,6.29972,0.307669,-9.858e-19
0.0111152,7.63552,0.140679,7.94789e-19
0.0113126,9.00601,-0.0107547,-4.45073e-19
0.0114918,10.3844,-0.148338,3.32441e-20
0.0116552,11.7555,-0.274129,-6.10691e-19
0.0118052,13.1112,-0.389852,-4.19827e-20
0.0119436,14.4471,-0.496674,2.6098e-19
0.012072,15.7609,-0.595234,2.04155e-20
0.0121919,17.0508,-0.68579,0
0.0123044,18.3152,-0.76836,-9.07304e-20
0.0124107,19.5525,-0.842854,4.76302e-20
0.0125116,20.7611,-0.909192,1.13646e-19
0.0126078,21.9393,-0.967374,-4.88093e-20
0.0127,23.0719,-1.01686,-4.84166e-20
0.0127846,24.1792,-1.05916,1.96201e-21
0.0128776,25.3475,-1.09702,1.45095e-19
0.0129804,26.63,-1.13009,-1.62949e-20
0.0130945,28.0239,-1.15629,1.7673e-20
0.0132214,29.5058,-1.17385,2.14247e-20
0.0133634,31.0145,-1.18268,-8.24194e-19
0.0135229,32.4388,-1.18638,-4.02458e-19
0.0137028,33.6515,-1.19221,1.01251e-18
0.0139066,34.5984,-1.20631,3.90642e-19
0.0141385,35.3356,-1.22936,2.68387e-19
0.0144035,35.9585,-1.25818,-4.34689e-19
0.0147076,36.5345,-1.28931,-1.37306e-19
0.0150582,37.104,-1.32088,5.50276e-19
0.0154839,37.6857,-1.352,-3.97249e-19
0.0159788,38.2774,-1.38176,-1.03202e-20
0.0165559,38.8764,-1.40967,4.1227e-21
0.0172308,39.4861,-1.43565,-6.13613e-19
0.0180222,40.1099,-1.45968,-5.65094e-19
0.0189526,40.7519,-1.48169,1.30566e-18
0.0200493,41.4175,-1.50153,5.51422e-19
0.0213448,42.1143,-1.51887,-7.47388e-19
0.0228785,42.8527,-1.5331,0
0.0246978,43.6482,-1.54351,-2.03794e-19
0.0268599,44.5214,-1.5487,-1.55624e-20
0.0294337,45.4867,-1.54787,3.0532e-19
0.0325023,46.4712,-1.53792,-9.64922e-20
0.0361662,47.1497,-1.50021,-4.64524e-20
0.0405466,47.2136,-1.42986,5.29999e-20
0.0457897,46.9837,-1.33979,-1.05486e-19
0.0520723,46.8135,-1.23605,4.26852e-20
0.058149,46.6727,-1.12908,3.04803e-20
0.058149,46.6727,-1.12908,3.04803e-20
0.0642652,46.5561,-1.02369,6.18852e-21
0.070424,46.4598,-0.919305,4.53059e-21
0.0766284,46.3802,-0.816266,3.09611e-23
0.0829487,46.3078,-0.717944,-1.39619e-21
0.0883767,46.0922,-0.631122,-1.57579e-20
0.0927677,45.263,-0.540931,3.95694e-21
0.0964184,43.8721,-0.447411,2.05187e-20
0.0994537,42.5041,-0.372009,-3.31115e-22
0.101977,41.312,-0.311013,-1.75844e-21
