trial_index,arm_name,trial_status,generation_method,TOTAL_RMSE,a1,betaStar
0,0_0,COMPLETED,CenterOfSearchSpace,0.6851860044883697,0.31,0.09
1,1_0,COMPLETED,Sobol,0.9617072509583544,0.18341852426528932,0.05118979409337043
2,2_0,COMPLETED,Sobol,0.7493546186597511,0.3170556314941496,0.09525133416987956
3,3_0,COMPLETED,Sobol,0.5224898908107695,0.4240928492601961,0.07361033993773163
4,4_0,COMPLETED,Sobol,1.7990987253322412,0.24772987824864687,0.11745180359110237
5,5_0,COMPLETED,BoTorch,0.7739551199965455,0.27057238538438255,0.08228494733989933
6,6_0,COMPLETED,BoTorch,0.5232783108840188,0.3905664507351896,0.0818197637652412
7,7_0,COMPLETED,BoTorch,0.5779788392293349,0.4576020640965663,0.0901199186449045
8,8_0,COMPLETED,BoTorch,0.5657891479975694,0.37012893482513765,0.06774683599923488
9,9_0,COMPLETED,BoTorch,0.514229742986384,0.4101223275081885,0.07835882484362877
10,10_0,COMPLETED,BoTorch,0.8790188136312015,0.465,0.045
11,11_0,COMPLETED,BoTorch,0.5189220913540614,0.4554466845298671,0.07474725157589093
12,12_0,COMPLETED,BoTorch,0.515519068062541,0.429373656142819,0.07967390909670656
13,13_0,COMPLETED,BoTorch,0.5601735254424576,0.4482523294245409,0.06831351503983399
14,14_0,COMPLETED,BoTorch,0.5195936247462438,0.4176935924516979,0.08097997008626599
