# Case: R.ST0
# Station: 10
# X/H: 4.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.171,-0.014,9.71,7.67,-2.64,4.26,2.49,-2.6,-2.47
3,0.15,-0.154,-0.02,13.2,10.1,-4.45,10.5,4.7,-5.18,-4.94
4,0.2,-0.134,-0.027,16.5,12.98,-6.3,13.67,5.61,-6.52,-5.34
5,0.3,-0.057,-0.046,25.91,16.16,-9.94,16.29,4.72,-5.66,-4.41
6,0.4,0.052,-0.068,32.92,18.95,-12.02,-4.83,-2.74,3.5,2.13
7,0.5,0.169,-0.082,30.67,18.32,-11.11,-26.75,-8.98,11.86,6.02
8,0.6,0.279,-0.093,23.24,15.9,-8.99,-19.61,-9.14,9.42,6.9
9,0.7,0.381,-0.094,18.21,13.03,-6.93,-5.06,-4.23,3.71,4.03
10,0.8,0.473,-0.097,17.03,10.98,-5.98,-3.65,-3.38,3.11,3.89
11,0.9,0.568,-0.097,14.45,8.3,-4.52,-5.19,-2.98,2.45,3.04
12,1.0,0.656,-0.092,11.55,6.33,-3.48,-6.85,-2.78,2.86,2.55
13,1.1,0.73,-0.089,7.7,4.2,-2.1,-3.69,-1.47,1.52,1.57
14,1.15,0.754,-0.087,6.27,3.52,-1.65,-2.27,-0.94,1.0,1.14
15,1.2,0.778,-0.084,4.85,2.83,-1.19,-0.84,-0.42,0.48,0.71
16,1.3,0.811,-0.083,3.8,2.19,-0.87,-0.44,-0.19,0.16,0.32
17,1.4,0.835,-0.081,3.17,1.8,-0.67,-0.29,-0.11,0.13,0.2
18,1.5,0.856,-0.079,2.86,1.52,-0.56,-0.31,-0.08,0.1,0.14
19,1.7,0.895,-0.076,2.27,1.25,-0.45,-0.34,-0.1,0.14,0.13
20,2.0,0.94,-0.072,1.47,0.78,-0.23,-0.22,-0.07,0.07,0.07
21,2.4,0.978,-0.063,0.61,0.39,0.0,-0.06,-0.01,0.03,0.02
22,2.8,0.986,-0.056,0.38,0.26,0.06,0.01,0.0,-0.01,0.0
23,3.2,0.984,-0.05,0.36,0.23,0.05,0.01,0.0,0.0,0.0
24,3.6,0.985,-0.047,0.36,0.23,0.07,0.01,0.0,0.0,0.0
25,4.0,0.985,-0.043,0.33,0.21,0.06,0.0,0.0,0.0,0.0
26,5.0,0.983,-0.037,0.33,0.22,0.06,0.01,0.0,0.0,0.0
27,6.0,0.98,-0.031,0.34,0.23,0.06,0.01,0.0,0.0,0.0
28,7.5,0.98,-0.025,0.35,0.25,0.07,0.01,0.0,-0.01,0.0
29,8.2,0.892,-0.013,2.23,1.59,0.65,-0.4,-0.22,-0.19,-0.13
