"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
-8.9113e-23,-2.552e-27,4.4842e-44,0,0.0762,0,0
-0.018175,-5.2047e-07,9.0051e-24,1.2444e-05,0.0762,1.2444e-05,0
-0.27708,-0.00042482,-6.3834e-23,1.2444e-05,0.0762,1.2444e-05,0
nan,nan,nan,1.8233e-05,0.0762,1.8233e-05,0
-0.54384,-0.003198,3.2743e-22,1.8233e-05,0.0762,1.8233e-05,0
-0.19258,-0.00021744,-6.8226e-24,4.0216e-05,0.0762,4.0216e-05,0
-0.63514,-0.0059802,-2.5983e-23,4.0216e-05,0.0762,4.0216e-05,0
-0.42599,-0.0014854,2.8452e-22,5.7888e-05,0.0762,5.7888e-05,0
-0.67959,-0.01006,-3.6345e-22,5.7888e-05,0.0762,5.7888e-05,0
-0.60101,-0.004412,1.7878e-22,7.8292e-05,0.0762,7.8292e-05,0
-0.67388,-0.015528,6.0146e-22,7.8292e-05,0.0762,7.8292e-05,0
-0.68008,-0.0095817,-4.4776e-22,0.00010188,0.0762,0.00010188,0
-0.63615,-0.022291,-3.7329e-23,0.00010188,0.0762,0.00010188,0
-0.66642,-0.016988,5.0465e-22,0.0001292,0.0762,0.0001292,0
-0.58425,-0.030426,7.4774e-22,0.0001292,0.0762,0.0001292,0
-0.61174,-0.026199,1.8416e-22,0.00016088,0.0762,0.00016088,0
-0.52283,-0.040176,1.0732e-21,0.00016088,0.0762,0.00016088,0
-0.5402,-0.037385,1.0834e-21,0.00019768,0.0762,0.00019768,0
-0.45367,-0.051809,-2.6593e-22,0.00019768,0.0762,0.00019768,0
-0.45915,-0.050862,-9.4427e-23,0.00024049,0.0762,0.00024049,0
-0.37686,-0.065624,-1.7656e-21,0.00024049,0.0762,0.00024049,0
-0.36967,-0.066961,-1.828e-21,0.00029038,0.0762,0.00029038,0
-0.29158,-0.081974,-1.1245e-21,0.00029038,0.0762,0.00029038,0
-0.27089,-0.086086,-5.5259e-22,0.0003486,0.0762,0.0003486,0
-0.19652,-0.10129,8.7818e-22,0.0003486,0.0762,0.0003486,0
-0.16113,-0.10874,1.2476e-21,0.00041668,0.0762,0.00041668,0
-0.089925,-0.1241,1.8653e-21,0.00041668,0.0762,0.00041668,0
-0.038202,-0.13554,2.219e-21,0.00049639,0.0762,0.00049639,0
0.030384,-0.15103,1.906e-21,0.00049639,0.0762,0.00049639,0
0.10066,-0.16724,7.5601e-22,0.0005899,0.0762,0.0005899,0
0.16713,-0.18283,2.6352e-23,0.0005899,0.0762,0.0005899,0
0.25889,-0.20471,-4.7252e-22,0.00069976,0.0762,0.00069976,0
0.32375,-0.22039,-5.1945e-22,0.00069976,0.0762,0.00069976,0
0.44083,-0.24905,-4.0516e-23,0.00082907,0.0762,0.00082907,0
0.50458,-0.26478,-1.1406e-21,0.00082907,0.0762,0.00082907,0
0.65208,-0.3015,-6.8781e-21,0.00098149,0.0762,0.00098149,0
0.71524,-0.31729,-7.0965e-21,0.00098149,0.0762,0.00098149,0
0.89993,-0.36361,-1.1571e-21,0.0011615,0.0762,0.0011615,0
0.96309,-0.37942,5.1436e-22,0.0011615,0.0762,0.0011615,0
1.1941,-0.43717,5.321e-21,0.0013743,0.0762,0.0013743,0
1.258,-0.45299,2.4254e-21,0.0013743,0.0762,0.0013743,0
1.5479,-0.52433,-2.9618e-20,0.0016265,0.0762,0.0016265,0
1.6132,-0.54015,-3.2098e-20,0.0016265,0.0762,0.0016265,0
1.9795,-0.62761,-2.0202e-20,0.0019256,0.0762,0.0019256,0
2.0472,-0.64339,-1.6629e-20,0.0019256,0.0762,0.0019256,0
2.5147,-0.74995,1.717e-20,0.0022811,0.0762,0.0022811,0
2.5831,-0.76509,1.8256e-20,0.0022811,0.0762,0.0022811,0
3.142,-0.88482,-5.0089e-21,0.002704,0.0762,0.002704,0
3.2154,-0.89996,-6.7804e-21,0.002704,0.0762,0.002704,0
3.79,-1.0147,-1.2025e-20,0.0030836,0.0762,0.0030836,0
3.8707,-1.0303,-8.2372e-21,0.0030836,0.0762,0.0030836,0
4.4486,-1.1378,4.9754e-20,0.0034494,0.0762,0.0034494,0
4.5339,-1.1531,4.8426e-20,0.0034494,0.0762,0.0034494,0
5.1347,-1.2573,-2.6509e-20,0.0038084,0.0762,0.0038084,0
5.2252,-1.2725,-2.7987e-20,0.0038084,0.0762,0.0038084,0
5.8623,-1.3754,2.6689e-20,0.0041672,0.0762,0.0041672,0
5.9583,-1.3904,3.2051e-20,0.0041672,0.0762,0.0041672,0
6.6469,-1.4942,5.1058e-20,0.0045321,0.0762,0.0045321,0
6.7487,-1.509,4.7463e-20,0.0045321,0.0762,0.0045321,0
7.5066,-1.6154,-2.4358e-20,0.0049095,0.0762,0.0049095,0
7.6144,-1.63,-2.7104e-20,0.0049095,0.0762,0.0049095,0
8.4625,-1.7407,6.7494e-21,0.0053056,0.0762,0.0053056,0
